breedname,avgweight,avglife
Affenpinscher,8.5,13.5
Afghan Hound,55,13.5
Afghan Hound Crossbreed,50,13.5
Airedale Terrier,60,12.5
Akita,100,11.5
Akita Crossbreed,100,11.5
Alaskan Malamute,80,12
American Bulldog,80,11
American Bully,65,11.5
American English Coonhound,55,11.5
American Eskimo dog,29,14
American Foxhound,65,12
American Hairless Terrier,14,15
American Leopard Hound,57.5,13.5
American Pit Bull Mix / Pit Bull Mix,60,14
American Pit Bull Terrier/Pit Bull,65,14
American Staffordshire Terrier ,55,14
American Water Spaniel,35,12
Anatolian Shepherd Dog,115,12
Australian Cattle Dog,42.5,14
Australian Kelpie,40,11.5
Australian Shepherd,52.5,13.5
Australian Terrier,17.5,13
Barbet,50,13
Basenji,23,13.5
Basset Hound,52.5,12.5
Beagle,25,12.5
Beagle Crossbreed,35,12.5
Bearded Collie,50,13
Bedlington Terrier,20,13.5
Belgian Malinois,60,15
Belgian Sheepdog,60,13
Belgian Tervuren,60,13
Berger Picard,60,12.5
Bernese Mountain Dog,92.5,8.5
Bichon Frise,15,14.5
Bichon Frise Crossbreed,12,14.5
Biewer Terrier,6,16
Black and Tan Coonhound,87.5,11
Black Russian Terrier,105,11
Bloodhound,95,11
Bloodhound Crossbreed,90,11
Bluetick Coonhound,67.5,11.5
Boerboel,175,10
Bolognese,7.25,13
Border Collie,42.5,13.5
Border Collie Crossbreed,45,13.5
Border Terrier,13.5,13.5
Borzoi,82.5,11.5
Boston Terrier,18.5,12
Bouvier Des Flandres,90,11
Boxer,65,11
Boxer Crossbreed,65,11
Boykin Spaniel,32.5,12.5
Briard,77.5,12
Brittany,35,13
Brussels Griffon,9,13.5
Bull Terrier,60,12.5
Bulldog,45,9
Bullmastiff,115,8
Cairn Terrier,13.5,14
Canaan Dog,45,13.5
Cane Corso,99,10.5
Cardigan Welsh Corgi,31.5,13.5
Catahoula Leopard Dog,72.5,12
Cavalier King Charles Spaniel,15.5,13.5
Chesapeake Bay Retriever,67.5,11.5
Chihuahua,6,15
Chihuahua Crossbreed,5.5,15
Chinese Crested,10,15.5
Chinese Shar-Pei,52.5,10
Chinook,70,13.5
Chow Chow,57.5,10
Cirneco dell,21.5,13
Clumber Spaniel,70,11
Cocker Spaniel,25,12
Cocker Spaniel Crossbreed,27,12
Collie,62.5,13
Collie Crossbreed,45,13
Coton de Tulear,11.5,17
Curly-Coated Retriever,77.5,11
Dachshund,24,14
Dachshund Crossbreed,30,14
Dachshund Smooth Coat,24,14
Dachshund Smooth Coat Miniature,24,14
Dalmatian,57.5,12
Dandie Dinmont Terrier,21,13.5
Doberman Pinscher,80,11
Dogo Argentino,94,12
Dutch Shepherd,58.5,12.5
English Bulldog,51,8
English Cocker Spaniel,30,13
English Foxhound,67.5,11.5
English Setter,62.5,12
English Springer Spaniel,45,13
English Toy Spaniel,11,11
Entlebucher Mountain Dog,52.5,12
Eurasier,55,14
Field Spaniel,42.5,12.5
Fila Brasileiro,160,10
Finnish Lapphund,43,13.5
Finnish Spitz,26.5,14
Flat-Coated Retriever,65,9
French Bulldog,28,11
French Mastiff (Dogue de Bordeaux),104.5,6.5
French Spaniel,55,11
German Longhaired Pointer,67.5,13
German Pinscher,35,13
German Shepherd Crossbreed,70,8.5
German Shepherd Dog,70,8.5
German Shorthaired Pointer,57.5,11
German Spitz,25,14
German Wirehaired Pointer,60,15
Giant Schnauzer,70,13.5
Glen of Imaal Terrier,36,12.5
Golden Retriever,65,11
Goldendoodle,35,12.5
Gordon Setter,62.5,12.5
Grand Basset Griffon Vendeen,42.5,14
Great Dane,142.5,8.5
Great Pyrenees,92.5,11
Greater Swiss Mountain Dog,112.5,9.5
Greyhound,65,11.5
Hamiltonstovare,57.5,15.5
Harrier,52.5,13.5
Havanese,10,15
Ibizan Hound,47.5,12.5
Irish Red and White Setter,47.5,13
Irish Setter,65,13.5
Irish Terrier,26,14
Irish Wolfhound,112.5,7
Italian Greyhound,10.5,14.5
Jack Russell Terrier,15.5,14.5
Japanese Chin,9,11
Japanese Chin/Spaniel,9,11
Jindo,40,14
Karelian Bear Dog,46.5,12
Keeshond,40,13.5
Kerry Blue Terrier,36.5,13.5
Kooikerhondje,25,13.5
Kromfohrlander,27.5,14
Kuvasz,92.5,11
Labradoodle,60,13.5
Labrador Retriever,67.5,11
Labrador Retriever Crossbreed,50,11
Lagotto Romagnolo,29.5,16
Lakeland Terrier,17,13.5
Leonberger,130,9
Lhasa Apso,15,13.5
Long Haired Dachshund,27,14
Long Haired Miniature Dachshund,11,14
Lowchen,12.5,15
Maltese,7,13.5
Maltese Crossbreed,9,13.5
Maltipoo,13,15
Manchester Terrier,17,16
Mastiff,175,8
Miniature American Shepherd,30,12.5
Miniature Bull Terrier,23,12
Miniature Crossbreed Schnauzer,15,13.5
Miniature Fox Terrier,12,15
Miniature Pinscher,9,14
Miniature Poodle,12.5,14
Miniature Schnauzer,15.5,13.5
Morkie,10,11.5
Mudi,23.5,13
Neapolitan Mastiff,130,8
Newfoundland,125,9.5
Norfolk Terrier,11.5,14
Norwegian Buhund,33,13.5
Norwegian Elkhound,51.5,13.5
Norwich Terrier,12,13.5
Not Listed,60,11.5
Nova Scotia Duck Tolling Retriever,42.5,13
Old English Mastiff,170,9
Old English Sheepdog,60,11
Otterhound,97.5,11.5
Papillon,7.5,15
Parson Russell Terrier,15,14
Pekingese,14,13
Pembroke Welsh Corgi,29,12.5
Pembroke Welsh Corgi Crossbreed,27,12.5
Perro de Presa Canario,97,10
Petit Basset Griffon Vendeen,32.5,13
Pharaoh Hound,50,13
Plott,50,13
Pointer,60,14.5
Polish Hound,60,13.5
Polish Lowland Sheepdog,40,13
Pomeranian,5,14
Pomeranian Crossbreed,10,14
Poodle,55,14
Poodle Crossbreed,25,14
Portuguese Podengo Pequeno,11,13.5
Portuguese Water Dog,47.5,12
Pug,16,14
Pug Crossbreed,25,14
Puggle,25,13
Puli,30,12.5
Pumi,25.5,12.5
Pyrenean Shepherd,22.5,17
Rat Terrier,17.5,15
Rat Terrier Crossbreed,18,15
Redbone Coonhound,57.5,13.5
Rhodesian Ridgeback,77.5,10
Rottweiler,107.5,9.5
Rottweiler Crossbreed,115,9.5
Rough Coat Collie,50,15
Russell Terrier,12,13
Russian Toy,6.5,13
Saluki,52.5,13.5
Samoyed,50,13
Schipperke,13,13
Schnauzer Crossbreed,18,14.5
Scottish Deerhound,92.5,9.5
Scottish Terrier,20,12
Sealyham Terrier,23.5,13
Shetland Sheepdog,20,13
Shiba Inu,20,14.5
Shiba Inu Crossbreed,13,14.5
Shih Tzu,12.5,14
Shih Tzu Crossbreed,16,14
Siberian Husky,47.5,13
Siberian Husky Crossbreed,40,13
Silky Terrier,10,14
Skye Terrier,40,13
Smooth Coat Collie,50,13.5
Smooth Fox Terrier,16.5,13.5
Soft Coated Wheaten Terrier,35,13
Spanish Water Dog,40,13
Spinone Italiano,73,11
St. Bernard,150,9
Staffordshire Bull Terrier,31,13
Standard Schnauzer,40,14.5
Sussex Spaniel,40,14
Swedish Vallhund,27.5,13.5
Terrier Crossbreed,15,14
Thai Ridgeback,55,12.5
Tibetan Mastiff,110,11
Tibetan Spaniel,12,13.5
Tibetan Terrier,24,15.5
Toy Fox Terrier,5.25,14
Toy Poodle,5,14
Treeing Tennessee Brindle,40,11
Treeing Walker Coonhound,60,12.5
Vizsla,52,13
Weimaraner,72.5,11.5
Welsh Springer Spaniel,45,13.5
Welsh Terrier,20,13.5
West Highland White Terrier,17.5,14
Wheaton Terrier,35,13
Whippet,32.5,13.5
Wire Fox Terrier,16.5,13.5
Wirehaired Dachshund,24,14
Wirehaired Miniature Dachshund,10,14
Wirehaired Pointing Griffon,52.5,13.5
Xoloitzcuintli,42.5,15.5
Yorkshire Terrier,7,13
Yorkshire Terrier Crossbreed,5,13
