breedgroup,breedname,licensecount,avgweight,lifeexpectancy,
,Dog,567.8,46.3,12.2,
Dog,Foundation Stock Service,185,48.8,10.6,
Dog,Herding,3311,46.8,12.2,8
Dog,Hound,3883,51,12.1,
Dog,Miscellaneous,40,46.5,13.1,
Dog,Mixed,14046,35.8,12.3,
Dog,Non-Sporting,8032,32,12.4,
Dog,Sporting,5698,51.9,12,
Dog,Terrier,5033,24.1,13.1,
Dog,Toy,22948,9.4,13.2,
Dog,Unknown,10383,60,9,
Dog,Working,3094,102.9,10.6,
Foundation Stock Service,American Bulldog,34,80,11.5,
Foundation Stock Service,American Leopard Hound,1,57.5,11.5,
Foundation Stock Service,Australian Kelpie,17,40,11.5,
Foundation Stock Service,Biewer Terrier,3,6,11.5,
Foundation Stock Service,Bolognese,7,7.25,11.5,
Foundation Stock Service,Catahoula Leopard Dog,58,72.5,11.5,
Foundation Stock Service,Eurasier,2,55,11.5,
Foundation Stock Service,French Spaniel,3,55,11.5,
Foundation Stock Service,German Longhaired Pointer,2,67.5,11.5,
Foundation Stock Service,German Spitz,7,25,11.5,
Foundation Stock Service,Hamiltonstovare,1,57.5,11.5,
Foundation Stock Service,Jindo,36,40,11.5,
Foundation Stock Service,Karelian Bear Dog,1,46.5,11.5,
Foundation Stock Service,Kromfohrlander,2,27.5,11.5,
Foundation Stock Service,Perro de Presa Canario,6,97,11.5,
Foundation Stock Service,Thai Ridgeback,3,55,11.5,
Foundation Stock Service,Treeing Tennessee Brindle,2,40,11.5,
Herding,Australian Cattle Dog,247,42.5,11.5,
Herding,Australian Shepherd,558,52.5,13.5,
Herding,Bearded Collie,33,50,13,
Herding,Belgian Malinois,64,60,11,
Herding,Belgian Sheepdog,14,60,11,
Herding,Belgian Tervuren,1,60,11,
Herding,Berger Picard,4,60,11,
Herding,Border Collie,403,42.5,13.5,
Herding,Bouvier Des Flandres,14,90,11.5,
Herding,Briard,10,77.5,12,
Herding,Canaan Dog,5,45,11,
Herding,Cardigan Welsh Corgi,63,31.5,11,
Herding,Collie,29,62.5,12.5,
Herding,Entlebucher Mountain Dog,5,52.5,13,
Herding,Finnish Lapphund,1,43,10,
Herding,German Shepherd Dog,1190,70,12,
Herding,Miniature American Shepherd,93,30,13,
Herding,Norwegian Buhund,1,33,11,
Herding,Old English Sheepdog,40,60,12.5,
Herding,Pembroke Welsh Corgi,266,29,13,
Herding,Polish Lowland Sheepdog,3,40,11,
Herding,Puli,16,30,12,
Herding,Pumi,2,25.5,12,
Herding,Pyrenean Shepherd,2,22.5,12.5,
Herding,Rough Coat Collie,28,50,15,
Herding,Shetland Sheepdog,192,20,13,
Herding,Smooth Coat Collie,24,50,11,
Herding,Spanish Water Dog,2,40,14,
Herding,Swedish Vallhund,1,27.5,14,
Hound,Afghan Hound,15,55,13,
Hound,American English Coonhound,10,55,12,
Hound,American Foxhound,29,65,12,
Hound,Basenji,93,23,14.5,
Hound,Basset Hound,181,52.5,10,
Hound,Beagle,1307,25,13.5,
Hound,Black and Tan Coonhound,77,87.5,11,
Hound,Bloodhound,19,95,9.5,
Hound,Bluetick Coonhound,25,67.5,12,
Hound,Borzoi,10,82.5,11,
Hound,Cirneco dell,2,21.5,14,
Hound,Dachshund,354,24,13,
Hound,Dachshund Smooth Coat,488,24,11.5,
Hound,Dachshund Smooth Coat Miniature,294,24,11.5,
Hound,English Foxhound,12,67.5,13.5,
Hound,Grand Basset Griffon Vendeen,1,42.5,13,
Hound,Greyhound,143,65,8.5,
Hound,Harrier,8,52.5,12.5,
Hound,Ibizan Hound,9,47.5,11.5,
Hound,Irish Wolfhound,12,112.5,12.5,
Hound,Long Haired Dachshund,117,27,13,
Hound,Long Haired Miniature Dachshund,168,11,12,
Hound,Norwegian Elkhound,17,51.5,14.5,
Hound,Otterhound,1,97.5,13,
Hound,Petit Basset Griffon Vendeen,18,32.5,11,
Hound,Pharaoh Hound,26,50,13,
Hound,Plott,34,50,8.5,
Hound,Polish Hound,2,60,12.5,
Hound,Portuguese Podengo Pequeno,9,11,13.5,
Hound,Redbone Coonhound,23,57.5,13,
Hound,Rhodesian Ridgeback,145,77.5,11,
Hound,Saluki,5,52.5,13,
Hound,Scottish Deerhound,3,92.5,8.5,
Hound,Treeing Walker Coonhound,53,60,12.5,
Hound,Whippet,88,32.5,13.5,
Hound,Wirehaired Dachshund,39,24,12.5,
Hound,Wirehaired Miniature Dachshund,46,10,13.5,
Miscellaneous,Barbet,3,50,12.5,
Miscellaneous,Dogo Argentino,13,94,13.5,
Miscellaneous,Dutch Shepherd,21,58.5,12.5,
Miscellaneous,Mudi,2,23.5,13.5,
Miscellaneous,Russian Toy,1,6.5,13.5,
Mixed,Afghan Hound Crossbreed,1,50,13.5,
Mixed,Akita Crossbreed,27,100,13,
Mixed,American Pit Bull Mix / Pit Bull Mix,2044,60,8.5,
Mixed,American Pit Bull Terrier/Pit Bull,1815,65,12.5,
Mixed,Beagle Crossbreed,627,35,11.5,
Mixed,Bichon Frise Crossbreed,22,12,12.5,
Mixed,Bloodhound Crossbreed,3,90,13,
Mixed,Border Collie Crossbreed,34,45,12,
Mixed,Boxer Crossbreed,36,65,14.5,
Mixed,Chihuahua Crossbreed,809,5.5,13,
Mixed,Cocker Spaniel Crossbreed,42,27,11,
Mixed,Collie Crossbreed,138,45,13,
Mixed,Dachshund Crossbreed,150,30,8.5,
Mixed,German Shepherd Crossbreed,956,70,12.5,
Mixed,Goldendoodle,336,35,13.5,
Mixed,Japanese Chin/Spaniel,55,9,13,
Mixed,Labradoodle,517,60,11,
Mixed,Labrador Retriever Crossbreed,1723,50,13,
Mixed,Maltese Crossbreed,503,9,8.5,
Mixed,Maltipoo,224,13,12.5,
Mixed,Miniature Crossbreed Schnauzer,28,15,13.5,
Mixed,Morkie,291,10,12.5,
Mixed,Pembroke Welsh Corgi Crossbreed,9,27,13.5,
Mixed,Pomeranian Crossbreed,130,10,12.5,
Mixed,Poodle Crossbreed,612,25,13.5,
Mixed,Pug Crossbreed,42,25,12.5,
Mixed,Puggle,489,25,13.5,
Mixed,Rat Terrier Crossbreed,8,18,13.5,
Mixed,Rottweiler Crossbreed,42,115,13.5,
Mixed,Schnauzer Crossbreed,78,18,13,
Mixed,Shiba Inu Crossbreed,8,13,8.5,
Mixed,Shih Tzu Crossbreed,887,16,12.5,
Mixed,Siberian Husky Crossbreed,59,40,11.5,
Mixed,Terrier Crossbreed,748,15,12.5,
Mixed,Yorkshire Terrier Crossbreed,553,5,13,
Non-Sporting,American Bully,129,65,13,
Non-Sporting,American Eskimo dog,193,29,13.5,
Non-Sporting,Bichon Frise,777,15,12,
Non-Sporting,Boston Terrier,769,18.5,9,
Non-Sporting,Bulldog,159,45,10,
Non-Sporting,Chinese Shar-Pei,125,52.5,14,
Non-Sporting,Chow Chow,154,57.5,13,
Non-Sporting,Coton de Tulear,194,11.5,10,
Non-Sporting,Dalmatian,60,57.5,13,
Non-Sporting,English Bulldog,592,51,10,
Non-Sporting,Finnish Spitz,3,26.5,13,
Non-Sporting,French Bulldog,1317,28,13,
Non-Sporting,Keeshond,17,40,14,
Non-Sporting,Lhasa Apso,482,15,13.5,
Non-Sporting,Lowchen,4,12.5,11.5,
Non-Sporting,Miniature Poodle,780,12.5,14,
Non-Sporting,Poodle,1164,55,14.5,
Non-Sporting,Schipperke,32,13,13.5,
Non-Sporting,Shiba Inu,884,20,13.5,
Non-Sporting,Tibetan Spaniel,42,12,12.5,
Non-Sporting,Tibetan Terrier,150,24,11.5,
Non-Sporting,Xoloitzcuintli,5,42.5,10.5,
Sporting,American Water Spaniel,2,35,13.5,
Sporting,Boykin Spaniel,2,32.5,11,
Sporting,Brittany,92,35,12,
Sporting,Chesapeake Bay Retriever,18,67.5,12.5,
Sporting,Clumber Spaniel,11,70,11.5,
Sporting,Cocker Spaniel,1110,25,11,
Sporting,Curly-Coated Retriever,2,77.5,10,
Sporting,English Cocker Spaniel,90,30,13,
Sporting,English Setter,8,62.5,11,
Sporting,English Springer Spaniel,44,45,12,
Sporting,Field Spaniel,5,42.5,13,
Sporting,Flat-Coated Retriever,20,65,10,
Sporting,German Shorthaired Pointer,87,57.5,13,
Sporting,German Wirehaired Pointer,15,60,13,
Sporting,Golden Retriever,1196,65,11.5,
Sporting,Gordon Setter,7,62.5,11,
Sporting,Irish Red and White Setter,1,47.5,12,
Sporting,Irish Setter,22,65,13,
Sporting,Kooikerhondje,5,25,11,
Sporting,Labrador Retriever,2545,67.5,11,
Sporting,Lagotto Romagnolo,19,29.5,12,
Sporting,Nova Scotia Duck Tolling Retriever,9,42.5,13.5,
Sporting,Pointer,128,60,13,
Sporting,Spinone Italiano,11,73,12,
Sporting,Sussex Spaniel,3,40,12,
Sporting,Vizsla,144,52,11.5,
Sporting,Weimaraner,84,72.5,13.5,
Sporting,Welsh Springer Spaniel,11,45,13,
Sporting,Wirehaired Pointing Griffon,7,52.5,11,
Terrier,Airedale Terrier,41,60,11.5,
Terrier,American Hairless Terrier,1,14,13,
Terrier,American Staffordshire Terrier ,484,55,13.5,
Terrier,Australian Terrier,19,17.5,13,
Terrier,Bedlington Terrier,16,20,13.5,
Terrier,Border Terrier,150,13.5,12.5,
Terrier,Bull Terrier,130,60,13.5,
Terrier,Cairn Terrier,341,13.5,12,
Terrier,Dandie Dinmont Terrier,4,21,12,
Terrier,Glen of Imaal Terrier,9,36,12,
Terrier,Irish Terrier,38,26,13.5,
Terrier,Jack Russell Terrier,1276,15.5,13.5,
Terrier,Kerry Blue Terrier,9,36.5,14,
Terrier,Lakeland Terrier,3,17,15.5,
Terrier,Manchester Terrier,19,17,12.5,
Terrier,Miniature Bull Terrier,7,23,13.5,
Terrier,Miniature Fox Terrier,2,12,14,
Terrier,Miniature Schnauzer,930,15.5,14,
Terrier,Norfolk Terrier,54,11.5,14,
Terrier,Norwich Terrier,69,12,13.5,
Terrier,Parson Russell Terrier,34,15,14,
Terrier,Rat Terrier,205,17.5,12,
Terrier,Russell Terrier,14,12,12,
Terrier,Scottish Terrier,101,20,13,
Terrier,Sealyham Terrier,3,23.5,12.5,
Terrier,Skye Terrier,6,40,13,
Terrier,Smooth Fox Terrier,12,16.5,13,
Terrier,Soft Coated Wheaten Terrier,36,35,13,
Terrier,Staffordshire Bull Terrier,174,31,13,
Terrier,Welsh Terrier,18,20,12.5,
Terrier,West Highland White Terrier,455,17.5,13,
Terrier,Wheaton Terrier,273,35,13,
Terrier,Wire Fox Terrier,100,16.5,12.5,
Toy,Affenpinscher,17,8.5,13.5,
Toy,Brussels Griffon,219,9,13.5,
Toy,Cavalier King Charles Spaniel,918,15.5,10.5,
Toy,Chihuahua,3594,6,17,
Toy,Chinese Crested,28,10,14,
Toy,English Toy Spaniel,5,11,11,
Toy,Havanese,1325,10,13,
Toy,Italian Greyhound,188,10.5,13.5,
Toy,Japanese Chin,29,9,11,
Toy,Maltese,2654,7,13,
Toy,Miniature Pinscher,533,9,13,
Toy,Papillon,267,7.5,13.5,
Toy,Pekingese,368,14,14,
Toy,Pomeranian,1361,5,14,
Toy,Pug,966,16,13.5,
Toy,Shih Tzu,4500,12.5,12.5,
Toy,Silky Terrier,205,10,12.5,
Toy,Toy Fox Terrier,25,5.25,13.5,
Toy,Toy Poodle,817,5,15,
Toy,Yorkshire Terrier,4929,7,13,
Unknown,Not Listed,10383,60,9,
Working,Akita,75,100,11,
Working,Alaskan Malamute,39,80,11,
Working,Anatolian Shepherd Dog,45,115,11.5,
Working,Bernese Mountain Dog,108,92.5,8,
Working,Black Russian Terrier,4,105,11,
Working,Boerboel,8,175,10,
Working,Boxer,682,65,10,
Working,Bullmastiff,57,115,9,
Working,Cane Corso,160,99,11,
Working,Chinook,3,70,12.5,
Working,Doberman Pinscher,163,80,11,
Working,Fila Brasileiro,2,160,7.5,
Working,French Mastiff (Dogue de Bordeaux),20,104.5,13.5,
Working,German Pinscher,5,35,11,
Working,Giant Schnauzer,24,70,8.5,
Working,Great Dane,77,142.5,11,
Working,Great Pyrenees,49,92.5,11,
Working,Greater Swiss Mountain Dog,6,112.5,11,
Working,Kuvasz,4,92.5,10.5,
Working,Leonberger,4,130,9.5,
Working,Mastiff,36,175,9.5,
Working,Neapolitan Mastiff,13,130,9,
Working,Newfoundland,41,125,9,
Working,Old English Mastiff,18,170,12,
Working,Portuguese Water Dog,102,47.5,9.5,
Working,Rottweiler,392,107.5,11,
Working,Samoyed,59,50,12,
Working,Siberian Husky,750,47.5,9,
Working,St. Bernard,24,150,14.5,
Working,Standard Schnauzer,118,40,12.5,
Working,Tibetan Mastiff,6,110,12.5,
